XY
realPoint:(62,206)
point:(272.37126349982816, 128.39133632527682)   distance=332.6504709349021
point:(332.44573058731316, 922.45151842521)   distance=476.7790394368315
point:(298.09010781918346, 605.533346521473)   distance=173.26342656207296
point:(314.48418316266634, -32.976073562785814)   distance=482.95028092394335
point:(332.44573058731316, 922.45151842521)   distance=476.7790394368315
point:(229.11652093689202, -1.790193802038175)   distance=469.7885256256731
point:(79.82315448074644, 486.062014066277)   distance=290.81219925639596
point:(221.1203947134842, 386.49469076234107)   distance=158.8537405762528
point:(272.37126349982816, 128.39133632527682)   distance=332.6504709349021
point:(175.6767980143493, 108.79437308480067)   distance=389.0645963064699
point:(-73.1279487526441, 556.5712541486425)   distance=454.53242668309355
point:(397.09797087382276, 126.51257566271124)   distance=321.80565729539813
point:(351.5897369333028, -198.6829894401742)   distance=645.8914921148275
point:(185.69079660854857, 510.1251579252323)   distance=192.92856502941996
point:(131.2919611126472, -180.29034722210167)   distance=670.4654169992076
point:(139.41861382841387, 216.90862602664293)   distance=324.33237655385415
point:(35.41720309396078, 150.4143819459431)   distance=445.6168148020793
point:(52.94187770237829, 971.2250470660781)   distance=611.6155004552573
point:(122.81964129479024, 841.2884001388313)   distance=464.30243460362607
point:(-83.24205294189403, 657.1288813346478)   distance=497.7685577797834
point:(104.35069109606036, -143.56905332119425)   distance=646.7478371252714
point:(349.7313415935853, 301.816742424554)   distance=146.32813181404515
point:(53.84592592645686, 730.4659159842697)   distance=423.13792997296554
point:(454.97056102304856, -109.07526337808781)   distance=562.8353018651846
point:(186.04104569015374, 52.96448935136527)   distance=434.0196363134542
point:(139.41861382841387, 216.90862602664293)   distance=324.33237655385415
point:(637.474637774993, 517.5214459800492)   distance=278.54955528070883
point:(81.9064774901824, -21.308983829853332)   distance=548.7830244803728
point:(245.651395043575, 219.99607241604406)   distance=257.87586989349205
point:(174.1295962589321, -418.05785240948853)   distance=886.5161146093403
point:(458.07648618538633, 679.8136266808361)   distance=249.63164489260936
point:(173.12332649754615, 438.1076381334248)   distance=195.0794504168702
point:(1826.4549625867262, 1007.5462922439403)   distance=1562.4669672163561
point:(-211.14407915733148, 797.0819704908906)   distance=676.7312985859146
point:(-82.7492728916933, 483.1487845406003)   distance=452.1964635378664
point:(225.25097794478802, 285.41924022401366)   distance=215.60525324653943
point:(292.8035423513235, 143.28021202545733)   distance=312.8901034711874
point:(168.2958910490023, 135.04646077654934)   distance=370.40078532037285
point:(20.81181773418325, 261.3604577666381)   distance=393.7025190999597
point:(225.25097794478802, 285.41924022401366)   distance=215.60525324653943
point:(245.6383904917908, 298.79541992028925)   distance=192.18990878306505
point:(454.97056102304856, -109.07526337808781)   distance=562.8353018651846
point:(245.651395043575, 219.99607241604406)   distance=257.87586989349205
point:(168.2958910490023, 135.04646077654934)   distance=370.40078532037285
point:(245.651395043575, 219.99607241604406)   distance=257.87586989349205
point:(351.5897369333028, -198.6829894401742)   distance=645.8914921148275
point:(35.4184076090861, -372.21923857774595)   distance=884.1553463352342
point:(186.04104569015374, 52.96448935136527)   distance=434.0196363134542
point:(25.61606980513784, 151.85757463300683)   distance=452.03518326253254
point:(186.04104569015374, 52.96448935136527)   distance=434.0196363134542
point:(563.6777782146521, 419.8177109791593)   distance=197.55675063999988
point:(386.3037598218509, 199.76493646342897)   distance=247.9116864239125
point:(563.6777782146521, 419.8177109791593)   distance=197.55675063999988
point:(522.7240852655837, 131.2033873276788)   distance=351.6632524683005
point:(192.93623423007512, -29.921467597548713)   distance=508.0368178990051
point:(234.12188354736247, 659.570188080503)   distance=251.21591296230898
point:(314.48418316266634, -32.976073562785814)   distance=482.95028092394335
point:(113.95194893316136, -196.79165923188953)   distance=692.10411987461
point:(436.93153911302375, -29.461107200490005)   distance=481.4215863037377
point:(129.72735111210204, 31.059081038033128)   distance=479.3544651664163
point:(272.37126349982816, 128.39133632527682)   distance=332.6504709349021
point:(214.16735643747097, 413.2636236672661)   distance=157.48849263835106
point:(13.857975497073767, 290.69733512598776)   distance=387.1008868056866
point:(420.1099425868463, -559.7637355092199)   distance=1008.1114349380642
point:(501.5765779148202, -354.42699089486996)   distance=812.4825683682327
point:(-7.494995101366726, -784.8928880301503)   distance=1287.8495948384034
point:(522.7240852655837, 131.2033873276788)   distance=351.6632524683005
point:(174.1295962589321, -418.05785240948853)   distance=886.5161146093403
point:(125.94291758935265, -892.0989279641228)   distance=1360.8003417179973
point:(271.09864473354855, 233.71214542231246)   distance=234.2681829929703
point:(428.35851557541775, 46.30571463709293)   distance=405.21483280472194
point:(160.4184751444276, 170.72563176627693)   distance=345.56854024101705
point:(250.13582981190996, -288.19974669692056)   distance=744.5875570793157
point:(314.48418316266634, -32.976073562785814)   distance=482.95028092394335
point:(302.40873671881525, 425.4414234211366)   distance=69.04336349663457     ¡Ì
point:(247.55307080300872, 568.3965883163606)   distance=171.0105096414749
point:(95.17554079456295, 333.3247146011355)   distance=295.5592259619931
X
point:(302.40873671881525, 425.4414234211366)   distance=65.59126328118475     ¡Ì
point:(174.1295962589321, -418.05785240948853)   distance=193.8704037410679
point:(280.6472024473377, -336.79961039409227)   distance=87.35279755266231     ¡Ì
point:(395.24335000542266, 518.8264385067666)   distance=27.243350005422656     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=415.46144258180834
point:(-85.46093821343982, 1005.4661698778116)   distance=453.4609382134398
point:(186.04104569015374, 52.96448935136527)   distance=181.95895430984626
point:(-58.34729237899512, 96.30261192798116)   distance=426.3472923789951
point:(457.0467500645003, -95.89623431612927)   distance=89.04675006450032     ¡Ì
point:(380.01723946568137, 556.9062189067441)   distance=12.01723946568137     ¡Ì
point:(454.97056102304856, -109.07526337808781)   distance=86.97056102304856     ¡Ì
point:(397.76479133245067, 803.302325547686)   distance=29.76479133245067     ¡Ì
point:(209.23258113211068, 433.8988851233688)   distance=158.76741886788932
point:(111.8021039081666, 334.04389648303754)   distance=256.1978960918334
point:(353.36286808020304, 466.7715615957612)   distance=14.637131919796957     ¡Ì
point:(513.3808151461201, 551.9854218246606)   distance=145.38081514612009
point:(225.25097794478802, 285.41924022401366)   distance=142.74902205521198     ¡Ì
point:(259.84251280473734, 819.0105766794921)   distance=108.15748719526266     ¡Ì
point:(-3.625358882493174, 636.2015060461532)   distance=371.6253588824932
point:(53.84592592645686, 730.4659159842697)   distance=314.15407407354314
point:(340.7501165061236, 313.8932364951054)   distance=27.249883493876382     ¡Ì
point:(185.69079660854857, 510.1251579252323)   distance=182.30920339145143
point:(354.19439353675784, 394.00915322060666)   distance=13.805606463242157     ¡Ì
point:(563.6777782146521, 419.8177109791593)   distance=195.6777782146521
point:(115.98830915810231, 586.4565300535102)   distance=252.0116908418977
point:(352.2570367424198, 278.1467525365868)   distance=15.742963257580186     ¡Ì
point:(436.93153911302375, -29.461107200490005)   distance=68.93153911302375     ¡Ì
point:(139.41861382841387, 216.90862602664293)   distance=228.58138617158613
point:(211.99562891914263, 99.78261256372889)   distance=156.00437108085737
point:(272.37126349982816, 128.39133632527682)   distance=95.62873650017184     ¡Ì
point:(563.6777782146521, 419.8177109791593)   distance=195.6777782146521
point:(410.77874679797003, -543.1153391629282)   distance=42.77874679797003     ¡Ì
point:(351.5897369333028, -198.6829894401742)   distance=16.410263066697212     ¡Ì
point:(76.55201190147727, 381.21356784085896)   distance=291.4479880985227
point:(124.47006539078632, 218.59292302584015)   distance=243.52993460921368
point:(522.7240852655837, 131.2033873276788)   distance=154.72408526558365
point:(122.81964129479024, 841.2884001388313)   distance=245.18035870520976
point:(417.6406757299484, 49.06817247977642)   distance=49.640675729948384     ¡Ì
point:(119.26095029810688, 296.60509537616974)   distance=248.73904970189312
point:(420.81133761822946, 36.576391431554384)   distance=52.81133761822946     ¡Ì
point:(245.651395043575, 219.99607241604406)   distance=122.34860495642499     ¡Ì
point:(272.37126349982816, 128.39133632527682)   distance=95.62873650017184     ¡Ì
point:(332.44573058731316, 922.45151842521)   distance=35.554269412686835     ¡Ì
point:(298.09010781918346, 605.533346521473)   distance=69.90989218081654     ¡Ì
point:(314.48418316266634, -32.976073562785814)   distance=53.51581683733366     ¡Ì
point:(332.44573058731316, 922.45151842521)   distance=35.554269412686835     ¡Ì
point:(229.11652093689202, -1.790193802038175)   distance=138.88347906310798     ¡Ì
point:(79.82315448074644, 486.062014066277)   distance=288.17684551925356
point:(221.1203947134842, 386.49469076234107)   distance=146.8796052865158
point:(272.37126349982816, 128.39133632527682)   distance=95.62873650017184     ¡Ì
point:(175.6767980143493, 108.79437308480067)   distance=192.3232019856507
point:(-73.1279487526441, 556.5712541486425)   distance=441.1279487526441
point:(397.09797087382276, 126.51257566271124)   distance=29.09797087382276     ¡Ì
point:(351.5897369333028, -198.6829894401742)   distance=16.410263066697212     ¡Ì
point:(185.69079660854857, 510.1251579252323)   distance=182.30920339145143
point:(131.2919611126472, -180.29034722210167)   distance=236.7080388873528
point:(139.41861382841387, 216.90862602664293)   distance=228.58138617158613
point:(35.41720309396078, 150.4143819459431)   distance=332.5827969060392
point:(52.94187770237829, 971.2250470660781)   distance=315.0581222976217
point:(122.81964129479024, 841.2884001388313)   distance=245.18035870520976
point:(-83.24205294189403, 657.1288813346478)   distance=451.24205294189403
point:(104.35069109606036, -143.56905332119425)   distance=263.64930890393964
point:(349.7313415935853, 301.816742424554)   distance=18.268658406414716     ¡Ì
point:(53.84592592645686, 730.4659159842697)   distance=314.15407407354314
point:(454.97056102304856, -109.07526337808781)   distance=86.97056102304856     ¡Ì
point:(186.04104569015374, 52.96448935136527)   distance=181.95895430984626
point:(139.41861382841387, 216.90862602664293)   distance=228.58138617158613
point:(637.474637774993, 517.5214459800492)   distance=269.47463777499297
point:(81.9064774901824, -21.308983829853332)   distance=286.0935225098176
point:(245.651395043575, 219.99607241604406)   distance=122.34860495642499     ¡Ì
point:(174.1295962589321, -418.05785240948853)   distance=193.8704037410679
point:(458.07648618538633, 679.8136266808361)   distance=90.07648618538633     ¡Ì
point:(173.12332649754615, 438.1076381334248)   distance=194.87667350245385
point:(1826.4549625867262, 1007.5462922439403)   distance=1458.4549625867262
point:(-211.14407915733148, 797.0819704908906)   distance=579.1440791573315
point:(-82.7492728916933, 483.1487845406003)   distance=450.7492728916933
point:(225.25097794478802, 285.41924022401366)   distance=142.74902205521198     ¡Ì
point:(292.8035423513235, 143.28021202545733)   distance=75.19645764867653     ¡Ì
point:(168.2958910490023, 135.04646077654934)   distance=199.7041089509977
point:(20.81181773418325, 261.3604577666381)   distance=347.18818226581675
point:(225.25097794478802, 285.41924022401366)   distance=142.74902205521198     ¡Ì
point:(245.6383904917908, 298.79541992028925)   distance=122.3616095082092     ¡Ì
point:(454.97056102304856, -109.07526337808781)   distance=86.97056102304856     ¡Ì
point:(245.651395043575, 219.99607241604406)   distance=122.34860495642499     ¡Ì
point:(168.2958910490023, 135.04646077654934)   distance=199.7041089509977
point:(245.651395043575, 219.99607241604406)   distance=122.34860495642499     ¡Ì
point:(351.5897369333028, -198.6829894401742)   distance=16.410263066697212     ¡Ì
point:(35.4184076090861, -372.21923857774595)   distance=332.5815923909139
point:(186.04104569015374, 52.96448935136527)   distance=181.95895430984626
point:(25.61606980513784, 151.85757463300683)   distance=342.38393019486216
point:(186.04104569015374, 52.96448935136527)   distance=181.95895430984626
point:(563.6777782146521, 419.8177109791593)   distance=195.6777782146521
point:(386.3037598218509, 199.76493646342897)   distance=18.303759821850917     ¡Ì
point:(563.6777782146521, 419.8177109791593)   distance=195.6777782146521
point:(522.7240852655837, 131.2033873276788)   distance=154.72408526558365
point:(192.93623423007512, -29.921467597548713)   distance=175.06376576992488
